"Date","Price","Open","High","Low","Vol.","Change %"
"May 13, 2019","79.286","75.537","82.032","74.718","105.43K","4.96%"
"May 12, 2019","75.537","78.730","80.732","72.174","119.12K","-4.06%"
"May 11, 2019","78.733","68.972","81.507","68.972","154.13K","14.21%"
"May 10, 2019","68.936","65.661","69.254","65.219","88.06K","4.99%"
"May 09, 2019","65.661","68.189","69.249","64.468","113.32K","-3.71%"
"May 08, 2019","68.189","66.676","68.439","65.770","106.22K","2.27%"
"May 07, 2019","66.675","67.859","71.369","66.550","102.54K","-1.74%"
"May 06, 2019","67.859","66.861","68.539","65.220","97.74K","1.56%"
"May 05, 2019","66.815","68.765","69.420","66.230","101.84K","-2.84%"
"May 04, 2019","68.765","67.726","69.311","66.090","82.80K","1.53%"
"May 03, 2019","67.726","65.460","69.036","65.047","94.69K","3.46%"
"May 02, 2019","65.460","65.869","66.909","64.538","88.21K","-0.62%"
"May 01, 2019","65.869","62.873","65.914","62.873","63.83K","4.77%"
"Apr 30, 2019","62.873","61.146","62.975","60.949","90.14K","2.84%"
"Apr 29, 2019","61.137","62.054","62.501","60.417","112.74K","-1.48%"
"Apr 28, 2019","62.054","63.145","63.636","61.611","75.94K","-1.73%"
"Apr 27, 2019","63.145","62.517","64.409","62.187","88.04K","0.95%"
"Apr 26, 2019","62.551","61.412","65.152","60.221","124.70K","1.85%"
"Apr 25, 2019","61.412","67.491","67.491","61.412","115.02K","-9.01%"
"Apr 24, 2019","67.491","68.597","70.295","64.669","133.57K","-1.60%"
"Apr 23, 2019","68.590","68.247","70.528","67.728","110.22K","0.51%"
"Apr 22, 2019","68.244","68.310","68.986","67.646","82.20K","-0.10%"
"Apr 21, 2019","68.310","69.339","69.757","66.945","112.54K","-1.48%"
"Apr 20, 2019","69.339","68.216","69.894","67.766","112.38K","1.62%"
"Apr 19, 2019","68.234","68.926","69.310","67.260","92.33K","-1.03%"
"Apr 18, 2019","68.942","67.173","69.706","67.149","117.15K","2.63%"
"Apr 17, 2019","67.173","68.429","69.377","66.560","66.02K","-1.89%"
"Apr 16, 2019","68.468","64.047","69.688","63.574","98.91K","6.90%"
"Apr 15, 2019","64.051","66.256","66.789","63.406","101.39K","-3.33%"
"Apr 14, 2019","66.256","64.930","66.906","63.933","163.54K","2.04%"
"Apr 13, 2019","64.930","65.756","66.455","63.554","83.82K","-1.26%"
"Apr 12, 2019","65.756","66.074","68.338","64.732","139.25K","-0.48%"
"Apr 11, 2019","66.074","70.757","70.944","62.137","156.71K","-6.62%"
"Apr 10, 2019","70.759","67.935","71.313","67.794","129.64K","4.16%"
"Apr 09, 2019","67.935","70.666","70.717","67.371","96.75K","-3.87%"
"Apr 08, 2019","70.666","69.655","72.110","67.846","98.07K","1.45%"
"Apr 07, 2019","69.655","68.032","69.949","67.767","109.36K","2.39%"
"Apr 06, 2019","68.032","68.980","70.091","66.394","87.33K","-1.37%"
"Apr 05, 2019","68.980","63.673","68.980","63.548","108.48K","8.33%"
"Apr 04, 2019","63.673","63.694","66.300","61.884","137.83K","-0.03%"
"Apr 03, 2019","63.695","68.405","69.370","61.328","472.99K","-6.89%"
"Apr 02, 2019","68.405","59.871","69.087","58.688","423.26K","14.25%"
"Apr 01, 2019","59.871","55.915","59.888","55.720","264.93K","7.08%"
"Mar 31, 2019","55.915","53.373","56.567","52.801","223.47K","4.76%"
"Mar 30, 2019","53.373","53.524","53.958","52.762","172.74K","-0.28%"
"Mar 29, 2019","53.524","52.635","54.071","52.121","207.84K","1.69%"
"Mar 28, 2019","52.635","53.327","53.334","52.324","143.61K","-1.30%"
"Mar 27, 2019","53.327","51.647","53.487","51.469","144.82K","3.25%"
"Mar 26, 2019","51.647","51.105","51.891","49.920","140.48K","1.06%"
"Mar 25, 2019","51.105","52.282","52.363","50.258","136.14K","-2.25%"
"Mar 24, 2019","52.282","52.521","52.705","51.886","105.90K","-0.45%"
"Mar 23, 2019","52.521","52.715","53.143","52.063","107.50K","-0.37%"
"Mar 22, 2019","52.715","52.122","53.019","51.882","107.89K","1.14%"
"Mar 21, 2019","52.122","54.149","54.161","51.373","144.92K","-3.74%"
"Mar 20, 2019","54.149","52.834","54.241","52.160","126.15K","2.49%"
"Mar 19, 2019","52.834","51.775","53.327","51.631","80.47K","2.05%"
"Mar 18, 2019","51.775","52.420","53.057","51.433","74.55K","-1.23%"
"Mar 17, 2019","52.420","53.177","53.199","51.676","96.42K","-1.42%"
"Mar 16, 2019","53.177","51.678","54.023","51.673","100.05K","2.90%"
"Mar 15, 2019","51.677","50.818","51.984","50.786","121.90K","1.71%"
"Mar 14, 2019","50.811","50.225","51.734","49.560","151.09K","1.17%"
"Mar 13, 2019","50.225","50.066","50.803","49.669","96.92K","0.32%"
"Mar 12, 2019","50.066","49.243","50.068","48.253","86.46K","1.72%"
"Mar 11, 2019","49.221","49.576","49.799","48.279","60.88K","-0.72%"
"Mar 10, 2019","49.576","49.561","49.725","49.057","32.38K","0.03%"
"Mar 09, 2019","49.561","48.877","50.243","48.661","101.36K","1.40%"
"Mar 08, 2019","48.877","50.047","50.226","48.253","94.21K","-2.34%"
"Mar 07, 2019","50.047","49.446","50.777","49.446","88.98K","1.22%"
"Mar 06, 2019","49.442","49.124","49.467","48.393","90.53K","0.65%"
"Mar 05, 2019","49.124","47.283","49.232","46.704","107.86K","3.90%"
"Mar 04, 2019","47.283","48.796","49.294","46.300","98.73K","-3.10%"
"Mar 03, 2019","48.796","48.522","48.953","48.266","30.61K","0.56%"
"Mar 02, 2019","48.522","48.369","48.678","47.832","35.43K","0.32%"
"Mar 01, 2019","48.369","48.055","48.762","47.978","56.44K","0.73%"
"Feb 28, 2019","48.021","48.899","49.247","48.000","55.15K","-1.80%"
"Feb 27, 2019","48.899","48.052","48.900","47.501","53.62K","1.76%"
"Feb 26, 2019","48.052","48.999","49.024","47.863","47.02K","-1.83%"
"Feb 25, 2019","48.946","47.788","49.365","47.788","35.11K","2.42%"
"Feb 24, 2019","47.788","54.206","55.937","47.783","86.76K","-11.74%"
"Feb 23, 2019","54.145","51.734","54.657","50.964","52.73K","4.87%"
"Feb 22, 2019","51.630","49.769","51.740","49.769","32.21K","3.79%"
"Feb 21, 2019","49.747","51.886","52.115","49.607","43.22K","-4.08%"
"Feb 20, 2019","51.863","51.985","52.730","50.665","53.67K","-0.24%"
"Feb 19, 2019","51.985","51.406","53.400","51.186","61.34K","1.11%"
"Feb 18, 2019","51.417","47.956","52.125","47.870","53.08K","7.21%"
"Feb 17, 2019","47.957","46.739","48.062","46.615","33.23K","2.61%"
"Feb 16, 2019","46.739","47.355","48.446","46.739","35.93K","-1.05%"
"Feb 15, 2019","47.233","46.824","48.418","46.649","47.36K","0.87%"
"Feb 14, 2019","46.824","49.129","49.590","45.968","71.31K","-4.69%"
"Feb 13, 2019","49.129","48.808","50.782","48.790","66.13K","0.65%"
"Feb 12, 2019","48.811","48.157","49.257","47.417","37.95K","1.36%"
"Feb 11, 2019","48.157","49.748","49.834","47.140","46.91K","-3.20%"
"Feb 10, 2019","49.748","48.524","49.773","46.958","43.40K","2.52%"
"Feb 09, 2019","48.524","48.308","49.084","47.893","39.89K","0.45%"
"Feb 08, 2019","48.308","43.365","50.040","43.365","70.60K","11.40%"
"Feb 07, 2019","43.365","43.254","43.950","43.192","32.98K","0.26%"
"Feb 06, 2019","43.254","43.398","43.828","42.436","44.00K","-0.33%"
"Feb 05, 2019","43.398","42.854","43.598","42.803","39.24K","1.39%"
"Feb 04, 2019","42.805","43.047","43.133","42.282","33.36K","-0.56%"
"Feb 03, 2019","43.047","43.501","44.009","42.553","60.58K","-1.04%"
"Feb 02, 2019","43.501","43.730","43.857","41.845","51.76K","-0.46%"
"Feb 01, 2019","43.700","43.509","44.196","42.873","25.32K","0.44%"
"Jan 31, 2019","43.509","44.032","44.553","43.226","25.01K","-1.19%"
"Jan 30, 2019","44.032","43.202","44.631","42.834","33.43K","1.92%"
"Jan 29, 2019","43.202","43.576","43.935","42.658","44.40K","-0.86%"
"Jan 28, 2019","43.576","46.379","46.555","43.163","56.16K","-6.04%"
"Jan 27, 2019","46.379","45.608","46.471","45.130","27.21K","1.72%"
"Jan 26, 2019","45.597","46.976","47.095","45.595","32.16K","-2.94%"
"Jan 25, 2019","46.976","45.971","47.150","45.245","28.66K","2.32%"
"Jan 24, 2019","45.912","44.920","46.674","44.773","43.33K","2.27%"
"Jan 23, 2019","44.891","45.988","46.174","44.699","41.51K","-2.38%"
"Jan 22, 2019","45.988","44.287","46.374","44.093","39.36K","3.84%"
"Jan 21, 2019","44.287","43.742","44.586","43.481","37.70K","1.25%"
"Jan 20, 2019","43.742","46.064","46.331","43.515","33.22K","-5.08%"
"Jan 19, 2019","46.082","44.835","46.765","44.835","26.28K","2.78%"
"Jan 18, 2019","44.835","45.607","45.739","44.564","30.95K","-1.70%"
"Jan 17, 2019","45.608","45.950","46.316","44.579","33.05K","-0.74%"
"Jan 16, 2019","45.950","44.802","46.101","44.522","29.10K","2.56%"
"Jan 15, 2019","44.802","45.921","46.728","44.084","36.39K","-2.43%"
"Jan 14, 2019","45.918","42.843","46.670","42.843","38.31K","7.18%"
"Jan 13, 2019","42.843","45.010","45.340","42.478","36.59K","-4.81%"
"Jan 12, 2019","45.010","45.727","45.887","44.638","29.76K","-1.32%"
"Jan 11, 2019","45.611","45.398","46.797","44.974","38.63K","0.62%"
"Jan 10, 2019","45.328","52.675","53.702","43.970","106.87K","-13.77%"
"Jan 09, 2019","52.564","53.072","54.835","51.961","33.76K","-0.96%"
"Jan 08, 2019","53.072","53.360","55.026","52.893","30.44K","-0.54%"
"Jan 07, 2019","53.360","55.337","56.068","53.127","38.90K","-3.57%"
"Jan 06, 2019","55.337","50.017","55.499","49.851","50.34K","10.63%"
"Jan 05, 2019","50.019","50.962","52.143","49.925","41.07K","-1.85%"
"Jan 04, 2019","50.962","50.209","51.409","49.590","37.02K","1.86%"
"Jan 03, 2019","50.033","52.972","53.375","49.984","30.87K","-5.55%"
"Jan 02, 2019","52.971","48.856","54.235","48.408","65.13K","8.84%"
"Jan 01, 2019","48.668","46.374","48.735","45.918","28.91K","4.95%"
"Dec 31, 2018","46.374","49.339","49.476","45.524","34.86K","-5.40%"
"Dec 30, 2018","49.023","47.706","49.292","47.593","32.85K","2.76%"
"Dec 29, 2018","47.705","50.175","50.848","47.705","47.77K","-4.92%"
"Dec 28, 2018","50.175","44.372","52.071","44.150","60.95K","13.08%"
"Dec 27, 2018","44.372","49.664","49.904","43.600","51.86K","-10.65%"
"Dec 26, 2018","49.661","51.222","53.054","47.424","62.70K","-2.75%"
"Dec 25, 2018","51.067","56.350","56.727","48.565","69.76K","-9.38%"
"Dec 24, 2018","56.351","53.404","59.012","53.404","76.44K","5.52%"
"Dec 23, 2018","53.405","52.352","55.641","52.352","48.38K","2.01%"
"Dec 22, 2018","52.352","52.462","53.421","50.444","49.52K","-0.21%"
"Dec 21, 2018","52.462","55.586","56.733","51.063","68.26K","-5.62%"
"Dec 20, 2018","55.586","46.307","55.844","46.181","92.31K","20.04%"
"Dec 19, 2018","46.307","47.457","51.290","45.966","80.24K","-1.99%"
"Dec 18, 2018","47.249","44.172","48.461","43.501","55.23K","6.97%"
"Dec 17, 2018","44.171","39.692","45.549","39.691","67.39K","11.29%"
"Dec 16, 2018","39.692","39.389","41.317","39.293","53.71K","1.58%"
"Dec 15, 2018","39.076","39.081","39.893","38.255","43.49K","-0.01%"
"Dec 14, 2018","39.081","41.536","43.222","38.720","63.40K","-5.28%"
"Dec 13, 2018","41.260","44.643","44.777","40.878","48.63K","-6.63%"
"Dec 12, 2018","44.192","42.947","46.220","42.886","38.89K","2.48%"
"Dec 11, 2018","43.123","44.276","44.755","42.343","46.17K","-2.60%"
"Dec 10, 2018","44.276","47.547","48.482","43.773","53.54K","-6.88%"
"Dec 09, 2018","47.547","45.318","49.456","45.262","44.43K","5.19%"
"Dec 08, 2018","45.199","46.896","49.563","43.064","54.54K","-3.62%"
"Dec 07, 2018","46.896","46.506","47.588","42.982","88.48K","0.84%"
"Dec 06, 2018","46.506","51.956","53.855","46.357","75.22K","-10.48%"
"Dec 05, 2018","51.953","57.060","57.929","51.953","44.55K","-8.95%"
"Dec 04, 2018","57.060","55.192","59.563","54.185","43.26K","3.38%"
"Dec 03, 2018","55.192","59.088","59.811","53.703","43.74K","-6.72%"
"Dec 02, 2018","59.168","59.867","62.476","58.235","24.44K","-1.17%"
"Dec 01, 2018","59.867","58.277","61.745","57.574","37.66K","2.73%"
"Nov 30, 2018","58.277","61.303","62.497","56.226","35.27K","-4.94%"
"Nov 29, 2018","61.303","63.742","65.316","59.493","46.61K","-3.83%"
"Nov 28, 2018","63.742","57.905","65.973","57.905","65.92K","10.07%"
"Nov 27, 2018","57.912","53.869","59.309","53.070","55.85K","7.50%"
"Nov 26, 2018","53.869","58.779","60.813","52.696","99.26K","-8.35%"
"Nov 25, 2018","58.779","59.361","60.232","53.878","106.51K","-0.29%"
"Nov 24, 2018","58.947","67.649","69.999","58.806","61.42K","-12.86%"
"Nov 23, 2018","67.649","66.062","67.871","63.342","57.92K","2.40%"
"Nov 22, 2018","66.062","69.524","71.633","66.001","46.40K","-4.98%"
"Nov 21, 2018","69.527","67.767","71.612","65.638","60.53K","2.60%"
"Nov 20, 2018","67.767","73.750","75.963","64.505","136.07K","-7.31%"
"Nov 19, 2018","73.113","89.889","90.220","72.949","104.77K","-18.66%"
"Nov 18, 2018","89.889","89.374","92.851","88.796","46.60K","0.82%"
"Nov 17, 2018","89.155","87.945","89.341","86.013","32.19K","1.38%"
"Nov 16, 2018","87.941","89.856","90.225","87.425","31.82K","-2.13%"
"Nov 15, 2018","89.856","92.423","94.824","82.047","86.12K","-2.77%"
"Nov 14, 2018","92.419","106.448","106.513","88.436","85.66K","-13.00%"
"Nov 13, 2018","106.223","106.265","107.516","105.370","23.10K","-0.04%"
"Nov 12, 2018","106.265","107.386","107.858","105.983","16.90K","-0.87%"
"Nov 11, 2018","107.192","105.471","107.252","102.915","18.94K","1.63%"
"Nov 10, 2018","105.471","107.365","107.696","105.198","14.28K","-1.76%"
"Nov 09, 2018","107.365","108.983","109.307","105.869","19.86K","-1.48%"
"Nov 08, 2018","108.983","111.936","112.604","108.855","23.75K","-2.64%"
"Nov 07, 2018","111.933","113.604","114.392","110.018","23.56K","-1.47%"
"Nov 06, 2018","113.604","112.079","114.185","111.104","32.71K","1.36%"
"Nov 05, 2018","112.079","112.686","113.396","109.861","23.32K","-0.54%"
"Nov 04, 2018","112.686","107.119","113.366","105.825","30.46K","5.20%"
"Nov 03, 2018","107.119","106.601","107.898","104.913","23.44K","0.51%"
"Nov 02, 2018","106.575","104.813","107.059","104.361","23.30K","1.68%"
"Nov 01, 2018","104.813","104.987","105.449","103.068","18.83K","-0.17%"
"Oct 31, 2018","104.987","101.788","106.258","100.950","25.48K","3.15%"
"Oct 30, 2018","101.786","101.853","103.016","101.025","38.13K","-0.08%"
"Oct 29, 2018","101.862","105.325","105.368","101.318","24.47K","-3.27%"
"Oct 28, 2018","105.308","104.490","105.656","102.743","87.48K","0.78%"
"Oct 27, 2018","104.490","106.099","106.106","104.295","64.25K","-1.47%"
"Oct 26, 2018","106.053","107.850","108.039","105.790","55.24K","-1.62%"
"Oct 25, 2018","107.795","108.259","108.308","106.643","34.00K","-0.30%"
"Oct 24, 2018","108.119","109.600","110.599","108.017","26.37K","-1.35%"
"Oct 23, 2018","109.596","107.493","111.836","107.493","36.20K","1.96%"
"Oct 22, 2018","107.493","106.891","107.611","105.950","18.77K","0.78%"
"Oct 21, 2018","106.663","106.159","108.232","106.057","15.21K","0.73%"
"Oct 20, 2018","105.894","105.490","107.287","105.277","16.45K","0.38%"
"Oct 19, 2018","105.490","105.069","107.671","104.893","24.21K","0.40%"
"Oct 18, 2018","105.069","109.409","109.951","103.924","21.53K","-3.66%"
"Oct 17, 2018","109.060","110.245","111.054","107.712","22.46K","-1.07%"
"Oct 16, 2018","110.245","109.695","111.233","108.076","29.21K","1.15%"
"Oct 15, 2018","108.993","101.045","118.140","100.880","109.78K","7.87%"
"Oct 14, 2018","101.045","103.875","104.280","100.933","22.52K","-2.38%"
"Oct 13, 2018","103.508","101.983","103.974","101.850","21.59K","1.73%"
"Oct 12, 2018","101.744","100.655","104.790","100.295","20.64K","1.04%"
"Oct 11, 2018","100.696","114.463","114.644","100.617","68.24K","-12.03%"
"Oct 10, 2018","114.463","113.767","114.628","111.582","32.27K","0.68%"
"Oct 09, 2018","113.687","114.279","114.878","113.212","20.93K","-0.52%"
"Oct 08, 2018","114.279","113.753","115.604","112.912","22.57K","0.48%"
"Oct 07, 2018","113.732","114.869","115.214","112.490","17.56K","-0.99%"
"Oct 06, 2018","114.869","115.368","115.642","113.341","14.95K","-0.44%"
"Oct 05, 2018","115.374","114.719","115.927","113.318","41.50K","0.61%"
"Oct 04, 2018","114.679","114.470","118.746","113.549","25.48K","0.18%"
"Oct 03, 2018","114.470","116.799","117.649","107.870","37.44K","-1.95%"
"Oct 02, 2018","116.749","114.441","120.258","112.240","35.80K","2.02%"
"Oct 01, 2018","114.442","115.767","117.479","112.819","32.47K","-1.14%"
"Sep 30, 2018","115.759","114.443","116.927","113.789","43.37K","1.15%"
"Sep 29, 2018","114.442","116.970","120.143","110.536","60.03K","-2.15%"
"Sep 28, 2018","116.961","119.187","122.117","115.301","42.95K","-1.83%"
"Sep 27, 2018","119.140","115.130","121.370","112.333","42.19K","3.52%"
"Sep 26, 2018","115.090","116.603","117.556","112.368","36.67K","-1.30%"
"Sep 25, 2018","116.603","115.034","116.603","111.177","54.18K","1.36%"
"Sep 24, 2018","115.034","122.525","123.314","114.401","63.50K","-6.19%"
"Sep 23, 2018","122.619","122.328","128.133","120.600","54.65K","0.24%"
"Sep 22, 2018","122.328","124.169","125.699","118.745","52.65K","-1.48%"
"Sep 21, 2018","124.169","115.811","124.672","115.664","85.32K","7.22%"
"Sep 20, 2018","115.813","109.415","116.180","109.391","57.40K","5.80%"
"Sep 19, 2018","109.467","112.094","112.555","104.837","57.17K","-2.34%"
"Sep 18, 2018","112.094","105.979","112.900","103.520","64.56K","5.69%"
"Sep 17, 2018","106.059","117.045","120.135","106.008","92.74K","-9.38%"
"Sep 16, 2018","117.041","119.157","119.157","113.062","54.46K","-1.83%"
"Sep 15, 2018","119.220","116.680","121.896","115.879","65.55K","2.16%"
"Sep 14, 2018","116.696","111.865","117.259","109.177","81.90K","4.32%"
"Sep 13, 2018","111.868","104.192","116.210","104.192","93.50K","7.36%"
"Sep 12, 2018","104.194","105.068","105.479","96.849","74.12K","-0.85%"
"Sep 11, 2018","105.092","105.442","108.830","100.734","59.02K","-0.32%"
"Sep 10, 2018","105.434","105.267","109.097","103.762","45.99K","0.20%"
"Sep 09, 2018","105.223","103.827","110.436","100.481","68.34K","1.34%"
"Sep 08, 2018","103.827","110.765","114.169","101.473","82.81K","-6.26%"
"Sep 07, 2018","110.766","117.285","119.524","110.175","70.87K","-5.51%"
"Sep 06, 2018","117.224","114.326","118.014","108.258","116.76K","2.53%"
"Sep 05, 2018","114.326","138.112","140.022","113.411","169.05K","-17.22%"
"Sep 04, 2018","138.117","134.956","140.196","134.580","116.21K","2.34%"
"Sep 03, 2018","134.957","120.303","135.975","119.000","115.41K","12.18%"
"Sep 02, 2018","120.300","120.899","125.508","116.397","83.88K","-0.49%"
"Sep 01, 2018","120.899","116.346","124.533","115.461","133.48K","3.91%"
"Aug 31, 2018","116.346","103.061","118.101","102.726","126.10K","12.90%"
"Aug 30, 2018","103.057","103.546","106.321","97.140","57.33K","-0.47%"
"Aug 29, 2018","103.546","107.575","108.453","100.773","49.06K","-3.75%"
"Aug 28, 2018","107.575","105.095","107.938","102.289","54.19K","2.35%"
"Aug 27, 2018","105.105","94.728","105.505","93.351","77.33K","10.93%"
"Aug 26, 2018","94.746","92.495","94.872","90.165","40.43K","2.43%"
"Aug 25, 2018","92.495","93.526","96.459","91.949","40.80K","-1.10%"
"Aug 24, 2018","93.526","89.970","94.044","88.542","44.79K","3.94%"
"Aug 23, 2018","89.981","89.773","91.379","88.629","39.16K","0.24%"
"Aug 22, 2018","89.765","94.769","98.653","87.743","64.29K","-5.29%"
"Aug 21, 2018","94.778","92.692","96.509","91.824","45.19K","2.25%"
"Aug 20, 2018","92.694","98.480","102.428","92.694","64.15K","-5.88%"
"Aug 19, 2018","98.482","98.042","98.817","94.563","34.54K","0.46%"
"Aug 18, 2018","98.028","99.281","104.902","93.869","66.17K","-1.26%"
"Aug 17, 2018","99.281","91.065","101.457","90.629","62.22K","9.02%"
"Aug 16, 2018","91.065","89.284","92.785","88.645","50.02K","1.99%"
"Aug 15, 2018","89.284","84.022","93.950","83.944","67.12K","6.26%"
"Aug 14, 2018","84.024","87.759","87.759","77.713","99.97K","-4.26%"
"Aug 13, 2018","87.758","93.132","97.131","87.727","55.80K","-5.77%"
"Aug 12, 2018","93.133","92.917","95.447","91.540","44.13K","0.23%"
"Aug 11, 2018","92.920","91.525","97.043","87.321","93.43K","1.60%"
"Aug 10, 2018","91.460","100.338","100.960","90.170","58.75K","-8.83%"
"Aug 09, 2018","100.316","94.563","102.081","94.563","56.06K","6.38%"
"Aug 08, 2018","94.299","107.818","107.838","93.044","86.05K","-12.56%"
"Aug 07, 2018","107.838","113.377","118.057","107.603","60.02K","-4.89%"
"Aug 06, 2018","113.383","117.342","119.872","112.383","39.06K","-3.37%"
"Aug 05, 2018","117.342","114.085","117.749","111.736","32.82K","2.84%"
"Aug 04, 2018","114.097","120.109","121.349","113.439","34.92K","-5.01%"
"Aug 03, 2018","120.109","122.378","122.498","114.988","48.49K","-1.84%"
"Aug 02, 2018","122.358","128.237","130.639","120.692","39.68K","-4.58%"
"Aug 01, 2018","128.237","122.223","130.233","119.632","50.67K","4.93%"
"Jul 31, 2018","122.217","131.902","134.359","121.243","51.88K","-7.35%"
"Jul 30, 2018","131.915","135.802","136.435","128.880","44.97K","-2.86%"
"Jul 29, 2018","135.802","139.708","141.498","134.790","35.48K","-2.80%"
"Jul 28, 2018","139.708","140.206","141.683","138.331","33.10K","-0.37%"
"Jul 27, 2018","140.233","136.841","142.427","135.005","31.06K","2.60%"
"Jul 26, 2018","136.675","143.109","144.959","135.860","42.70K","-4.50%"
"Jul 25, 2018","143.109","147.851","149.087","138.431","53.19K","-3.22%"
"Jul 24, 2018","147.874","133.400","148.646","133.060","73.85K","10.85%"
"Jul 23, 2018","133.401","128.408","142.889","128.141","75.58K","3.86%"
"Jul 22, 2018","128.444","132.359","133.787","128.185","40.24K","-2.96%"
"Jul 21, 2018","132.359","130.078","132.938","127.384","32.11K","1.75%"
"Jul 20, 2018","130.078","139.759","139.759","128.685","66.81K","-6.92%"
"Jul 19, 2018","139.742","139.704","143.729","138.176","36.00K","0.03%"
"Jul 18, 2018","139.704","143.647","149.522","137.869","51.44K","-2.74%"
"Jul 17, 2018","143.647","135.422","148.262","134.823","74.90K","6.07%"
"Jul 16, 2018","135.422","123.937","135.671","122.917","68.05K","9.26%"
"Jul 15, 2018","123.943","122.955","125.986","121.244","41.69K","0.80%"
"Jul 14, 2018","122.955","122.030","124.206","120.960","32.79K","0.74%"
"Jul 13, 2018","122.057","120.861","125.090","119.539","53.38K","1.16%"
"Jul 12, 2018","120.659","126.167","126.859","117.533","54.57K","-4.31%"
"Jul 11, 2018","126.088","122.035","130.588","122.017","74.94K","3.32%"
"Jul 10, 2018","122.037","136.662","138.258","121.727","71.81K","-10.70%"
"Jul 09, 2018","136.662","138.626","142.596","136.249","54.36K","-1.44%"
"Jul 08, 2018","138.654","135.505","140.085","134.581","43.49K","2.32%"
"Jul 07, 2018","135.508","134.975","136.020","131.521","40.86K","0.40%"
"Jul 06, 2018","134.974","139.213","139.529","131.652","56.70K","-3.05%"
"Jul 05, 2018","139.213","139.499","142.278","134.737","67.69K","-0.20%"
"Jul 04, 2018","139.492","139.053","146.376","135.311","54.92K","0.32%"
"Jul 03, 2018","139.048","141.086","144.568","139.048","67.34K","-1.44%"
"Jul 02, 2018","141.085","130.969","143.818","128.962","88.98K","7.76%"
"Jul 01, 2018","130.922","131.508","131.508","126.135","57.86K","-0.39%"
"Jun 30, 2018","131.439","127.451","135.775","127.378","94.42K","3.17%"
"Jun 29, 2018","127.403","117.155","128.562","115.821","71.41K","8.73%"
"Jun 28, 2018","117.170","129.166","135.030","114.818","95.84K","-9.20%"
"Jun 27, 2018","129.041","121.103","131.190","120.043","66.44K","6.53%"
"Jun 26, 2018","121.130","127.352","130.859","120.854","63.09K","-4.83%"
"Jun 25, 2018","127.274","121.902","130.147","121.104","66.47K","4.41%"
"Jun 24, 2018","121.902","115.764","125.667","108.573","84.58K","5.38%"
"Jun 23, 2018","115.683","110.860","119.950","110.555","62.91K","4.35%"
"Jun 22, 2018","110.857","123.921","124.227","107.755","99.47K","-10.60%"
"Jun 21, 2018","124.006","122.847","124.393","121.680","40.44K","0.96%"
"Jun 20, 2018","122.822","126.442","126.442","119.975","41.38K","-2.83%"
"Jun 19, 2018","126.401","127.415","130.964","124.544","53.46K","-0.77%"
"Jun 18, 2018","127.381","123.847","129.880","119.711","58.92K","2.87%"
"Jun 17, 2018","123.826","126.500","126.969","123.296","41.53K","-2.13%"
"Jun 16, 2018","126.515","122.167","128.227","121.045","59.84K","3.56%"
"Jun 15, 2018","122.167","132.627","133.329","122.032","61.27K","-7.89%"
"Jun 14, 2018","132.632","121.875","133.737","118.542","103.67K","8.82%"
"Jun 13, 2018","121.878","125.571","126.716","113.064","121.01K","-2.92%"
"Jun 12, 2018","125.544","137.999","138.519","120.649","78.23K","-8.99%"
"Jun 11, 2018","137.947","139.721","140.242","132.251","44.99K","-1.14%"
"Jun 10, 2018","139.543","154.570","154.705","132.094","99.72K","-9.70%"
"Jun 09, 2018","154.537","158.351","159.981","154.452","35.77K","-2.42%"
"Jun 08, 2018","158.361","164.100","165.310","156.999","47.14K","-3.50%"
"Jun 07, 2018","164.098","164.418","171.746","163.101","52.28K","-0.19%"
"Jun 06, 2018","164.418","166.969","167.996","150.656","47.13K","-1.62%"
"Jun 05, 2018","167.128","160.257","169.150","157.444","48.80K","4.29%"
"Jun 04, 2018","160.254","168.903","170.330","157.653","45.67K","-5.13%"
"Jun 03, 2018","168.911","162.409","177.511","162.311","50.13K","3.94%"
"Jun 02, 2018","162.507","157.643","167.675","156.429","45.76K","3.09%"
"Jun 01, 2018","157.641","155.709","158.549","153.285","27.46K","1.19%"
"May 31, 2018","155.785","155.447","159.098","154.630","37.45K","0.30%"
"May 30, 2018","155.325","157.290","161.137","152.837","28.28K","-1.25%"
"May 29, 2018","157.284","149.412","167.046","147.357","94.49K","5.26%"
"May 28, 2018","149.427","166.537","168.490","149.368","53.73K","-10.23%"
"May 27, 2018","166.453","165.144","170.830","161.379","32.55K","0.86%"
"May 26, 2018","165.026","165.021","169.080","163.151","26.88K","0.04%"
"May 25, 2018","164.956","171.813","173.822","162.514","31.86K","-3.77%"
"May 24, 2018","171.423","171.093","177.443","161.007","60.66K","0.24%"
"May 23, 2018","171.011","175.304","179.536","166.110","62.68K","-2.47%"
"May 22, 2018","175.338","198.336","198.713","175.338","59.68K","-11.59%"
"May 21, 2018","198.314","203.703","204.399","195.049","24.49K","-2.65%"
"May 20, 2018","203.703","197.330","205.514","196.258","30.76K","3.22%"
"May 19, 2018","197.342","203.648","203.861","196.491","24.85K","-3.09%"
"May 18, 2018","203.637","190.819","212.878","186.443","70.21K","6.61%"
"May 17, 2018","191.006","198.835","203.305","190.980","34.93K","-3.98%"
"May 16, 2018","198.927","202.948","203.380","192.431","39.90K","-1.98%"
"May 15, 2018","202.951","212.785","217.793","201.148","54.46K","-4.64%"
